,Nama,Sandi bank,Tanggal didirikan,Jenis bank,Pengendali,,
55,Bank Mayapada Internasional,097,7 September 1989,Konvensional,Swasta (lokal),Devisa,Mayapada Group
56,Bank Maybank Indonesia,016,15 Mei 1959,Konvensional,Swasta (asing),Devisa,Maybank
57,Bank Mayora,553,25 Februari 1993,Konvensional,Swasta (lokal),Devisa,Bank Negara Indonesia
58,Bank Mega,426,15 April 1969,Konvensional,Swasta (lokal),Devisa,Mega Corpora
59,Bank Mega Syariah,506,14 Juli 1990,Syariah,Swasta (lokal),Devisa,Mega Corpora
60,Bank Mestika Dharma,151,27 April 1955,Konvensional,Swasta (lokal),Devisa,PT Mestika Buana Mas[16]
61,Bank Mizuho Indonesia,048,23 Februari 1989[17],Konvensional,Swasta (asing),Devisa,Mizuho Financial Group
62,Bank MNC Internasional,485,31 Juli 1989,Konvensional,Swasta (lokal),Devisa,MNC Financial Services
63,Bank Muamalat Indonesia,147,1 November 1991,Syariah,Swasta (lokal),Devisa,Badan Pengelola Keuangan Haji
64,Bank Multiarta Sentosa,548,28 Juli 1992,Konvensional,Swasta (lokal),Devisa,Wings Group
65,Bank Nagari,118,12 Maret 1962,Konvensional,BPD,Devisa,Pemerintah daerah di Sumatra Barat
66,Bank Nationalnobu,503,16 Agustus 1990,Konvensional,Swasta (lokal),Devisa,Lippo Group
67,Bank Negara Indonesia,009,5 Juli 1946,Konvensional,BUMN,Devisa,Pemerintah Republik Indonesia
68,Bank Neo Commerce,490,19 September 1989,Konvensional,Swasta (lokal),Nondevisa,"Gozco Capital, Akulaku"
69,Bank NTB Syariah,128,5 Juli 1964,Syariah,BPD,Nondevisa,Pemerintah daerah di Nusa Tenggara Barat
70,Bank NTT,130,17 Juli 1962,Konvensional,BPD,Nondevisa,Pemerintah daerah di Nusa Tenggara Timur
71,Bank OCBC NISP,028,4 April 1941,Konvensional,Swasta (asing),Devisa,OCBC Bank
